證券代碼,年月,每股盈餘,ROE(A)－稅後,ROA(A)稅後息前,負債比率,營業毛利率,營業利益率,稅前淨利率,稅後淨利率
1101 台泥,201303,0.38,1.39,0.89,46.72,12.95,8.4,9.71,8.29
1102 亞泥,201303,0.4,0.95,0.71,41.17,6.45,2.49,11.46,9.89
1103 嘉泥,201303,0.13,0.36,0.33,43.42,-6.49,-20.21,4.56,8.05
1104 環泥,201303,0.3,1.36,1.14,16.21,9.04,2.42,14.92,14.7
1108 幸福,201303,0.17,1.5,0.91,50.05,12.61,8.16,7.03,5.31
1109 信大,201303,0.09,0.51,0.45,26.83,13.78,3.92,4.76,3.83
1110 東泥,201303,0.11,0.72,0.66,8.13,14.47,11.25,12.93,13.28
1201 味全,201303,0.58,2.28,0.82,69.6,32.45,5.62,5.25,3.69
1203 味王,201303,0.35,2.55,1.64,39.12,20.57,8.07,8.61,7.31
1210 大成,201303,0.45,1.69,0.93,50.34,9.08,1.17,1.58,1.36
1213 大飲,201303,0.17,1.39,1.13,18.58,17.03,6.68,6.42,5.1
1215 卜蜂,201303,0.31,1.43,0.8,50.28,8.68,2.24,2.04,1.57
1216 統一,201303,0.71,4.45,1.78,62.19,31.35,5.5,6.68,5.5
1217 愛之味,201303,0.04,0.21,0.34,54.24,31.5,-1.38,3.05,1.44
1218 泰山,201303,-0.01,-0.03,0.16,58.56,11.95,-0.33,-0.03,-0.04
1219 福壽,201303,-0.11,-0.93,-0.55,34.52,4.24,-1.69,-1.48,-1.48
1220 台榮,201303,0.12,1.41,1.09,23.41,9.76,3.16,4.04,3.95
1225 福懋油,201303,0.13,0.96,0.55,61.82,4.65,1.12,0.9,0.72
1227 佳格,201303,1.23,6.75,5.01,24.13,31.17,14.76,16.59,13.78
1229 聯華,201303,0.27,1.14,0.95,20.01,10.53,3.03,18.52,18.31
1231 聯華食,201303,0.91,4.68,2.35,51.16,27.31,7.91,9.05,7.52
1232 大統益,201303,1.32,6.94,5.02,22.2,6.82,4.31,5.32,4.35
1233 天仁,201303,0.76,4.57,3.51,21.09,61.03,14.82,15.57,12.89
1234 黑松,201303,0.19,0.51,0.43,17.71,24.39,0.3,8.12,6.52
1235 興泰,201303,-0.64,-3.62,-1.8,46.56,1.21,-12.4,-55.59,-59.98
1236 宏亞,201303,0.58,4.2,2.22,47.79,29.35,10.19,10.28,8.65
1256 鮮活果汁-KY,201303,2.59,9.95,6,39.04,29.2,16.97,19.03,13.4
1301 台塑,201303,0.9,2.39,1.58,37.21,6.19,1.08,11.28,10.99
1303 南亞,201303,0.9,2.69,1.56,45.73,11.18,5.56,11.05,9.34
1304 台聚,201303,0.27,2.03,1.2,44.7,9.17,3.19,5.54,4.96
1305 華夏,201303,0.76,6.12,3.2,47.94,18.74,10.82,12.95,11.01
1307 三芳,201303,0.62,3.23,1.89,42.7,23.81,9.75,11.72,8.46
1308 亞聚,201303,0.28,1.38,1.25,8.9,8.08,4.03,11.61,10.65
1309 台達化,201303,0.16,1.29,0.62,62.48,3.09,-0.41,0.98,1.19
1310 台苯,201303,0.04,0.51,0.41,51.89,3.43,1.07,0.56,0.52
1312 國喬,201303,0.18,1.32,0.94,31.79,8.38,3.61,4.37,3.64
1313 聯成,201303,0.15,0.93,0.56,58.1,3.32,0.02,1.61,1.48
1314 中石化,201303,-0.11,-0.62,-0.47,24.99,-1.44,-4.58,-2.85,-2.84
1315 達新,201303,0.04,0.07,0.07,22.16,17.15,-1.16,0.41,0.68
1316 上曜,201303,-0.43,-2.28,-1.06,42.36,25.71,-7.63,-7.81,-8.28
